index,title,url,site,category,language,course_type,subcategory,intro,duration_seconds,rating
37,Foundations of Positive Psychology  Specialization,https://www.coursera.org/specializations/positivepsychology,Coursera,business,English,Specialization,business,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,720000,4.8
38,Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science,Coursera,data science,English,Specialization,data analysis,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",1584000,4.5
39,Supply Chain Management Specialization,https://www.coursera.org/specializations/supply-chain-management,Coursera,business,English,Specialization,business,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",864000,4.8
40,Fintech: Foundations & Applications of Financial Technology Specialization,https://www.coursera.org/specializations/wharton-fintech,Coursera,business,English,Specialization,business,,576000,4.6
41,Microsoft 365 Fundamentals Specialization,https://www.coursera.org/specializations/microsoft-365-fundamentals,Coursera,business,English,Specialization,business,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,720000,4.7
42,Search Engine Optimization (SEO) Specialization,https://www.coursera.org/specializations/seo,Coursera,business,English,Specialization,marketing,Become an SEO Expert. Master search engine optimization tools and strategies,720000,4.7
43,AI Product Management Specialization,https://www.coursera.org/specializations/ai-product-management-duke,Coursera,data science,English,Specialization,machine learning,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.",576000,4.7
44,Introduction to Programming with Python and Java Specialization,https://www.coursera.org/specializations/programming-python-java,Coursera,computer science,English,Specialization,software development,"Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.",576000,4.4
45,Construction Management Specialization,https://www.coursera.org/specializations/construction-management,Coursera,business,English,Specialization,leadership and management,Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,1008000,4.8
46,IBM Introduction to Machine Learning Specialization,https://www.coursera.org/specializations/ibm-intro-machine-learning,Coursera,data science,English,Specialization,data analysis,Learn machine learning through real use cases. Build the skills for a career in one of the most relevant fields of modern AI through hands-on projects and curriculum from IBM’s experts.,864000,4.7
47,Data Analysis and Presentation Skills: the PwC Approach Specialization,https://www.coursera.org/specializations/pwc-analytics,Coursera,business,English,Specialization,business,"Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations",864000,4.7
48,AWS Fundamentals Specialization,https://www.coursera.org/specializations/aws-fundamentals,Coursera,information technology,English,Specialization,cloud computing,,720000,4.6
49,Data Science: Foundations using R Specialization,https://www.coursera.org/specializations/data-science-foundations-r,Coursera,data science,English,Specialization,data analysis,,720000,4.6
50,Python 3 Programming Specialization,https://www.coursera.org/specializations/python-3-programming,Coursera,computer science,English,Specialization,software development,Become a Fluent Python Programmer. Learn the fundamentals and become an independent programmer.,720000,4.7
51,Reinforcement Learning Specialization,https://www.coursera.org/specializations/reinforcement-learning,Coursera,data science,English,Specialization,machine learning,Master the Concepts of Reinforcement Learning. Implement a complete RL solution and understand how to apply AI tools to solve real-world problems.,720000,4.8
52,Accelerated Computer Science Fundamentals Specialization,https://www.coursera.org/specializations/cs-fundamentals,Coursera,computer science,English,Specialization,computer science,Data Structures and Algorithms in C++. Learn fundamentals of computer science while implementing efficient data structures in C++.,432000,4.7
53,Digital Marketing Specialization,https://www.coursera.org/specializations/digital-marketing,Coursera,business,English,Specialization,marketing,"Drive Customer Behavior Online. A six-course overview of the latest digital marketing skills, taught by industry experts.",1152000,4.6
54,DevOps on AWS Specialization,https://www.coursera.org/specializations/aws-devops,Coursera,computer science,English,Specialization,software development,Launch your career in DevOps. Master DevOps methodologies and AWS services to deliver faster and more reliable updates to your customers,432000,4.7
55,Generative Adversarial Networks (GANs) Specialization,https://www.coursera.org/specializations/generative-adversarial-networks-gans,Coursera,data science,English,Specialization,machine learning,Break into the GANs space. Master cutting-edge GANs techniques through three hands-on courses!,432000,4.7
56,Data Visualization with Tableau Specialization,https://www.coursera.org/specializations/data-visualization,Coursera,data science,English,Specialization,data analysis,Visualize Business Data with Tableau. Create powerful business intelligence reports,864000,4.5
57,Certified in Cybersecurity Specialization,https://www.coursera.org/specializations/certified-in-cybersecurity,Coursera,information technology,English,Specialization,security,Advance Your IT Career with Cybersecurity Skills. Gain Flexibility with Self-Paced Learning,1152000,4.6
58,Business Strategy Specialization,https://www.coursera.org/specializations/business-strategy,Coursera,business,English,Specialization,business,Steer Your Business to Success. Generate value and demonstrate global impact in four courses. ,864000,4.8
59,Applied Data Science with Python Specialization,https://www.coursera.org/specializations/data-science-python,Coursera,data science,English,Specialization,data analysis,"Gain new insights into your data  . Learn to apply data science methods and techniques, and acquire analysis skills.",720000,4.5
60,Human Resource Management: HR for People Managers Specialization,https://www.coursera.org/specializations/human-resource-management,Coursera,business,English,Specialization,business,"Become a better manager of people. Develop strategies and skills for hiring, managing performance, and rewarding employees.",864000,4.8
61,Achieving Personal and Professional Success Specialization,https://www.coursera.org/specializations/wharton-success,Coursera,personal development,English,Specialization,personal development,"Learn How to Maximize Your Potential. Define Success, Communicate Effectively, and Use Influence to Accomplish Personal and Career Goals ",576000,4.7
